Image;Average;Standard Deviation;;
Mask-perfect_FF.csv;0,237952;0,255426;;
Pipes-perfect_FF.csv;0,238198;0,187381;;
Storage-perfect_FF.csv;0,239817;0,197543;;
Backpack-perfect_FF.csv;0,296641;0,294614;;9,414349
Vintage-perfect_FF.csv;0,307212;0,134101;;
Cable-perfect_FF.csv;0,333186;0,207464;;
Jadeplant-perfect_FF.csv;0,344814;0,153629;;
Umbrella-perfect_FF.csv;0,349751;0,282374;;
Playtable-perfect_FF.csv;0,38598;0,23091;;
Flowers-perfect_FF.csv;0,397131;0,312549;;
Sword1-perfect_FF.csv;0,398848;0,225228;;
Motorcycle-perfect_FF.csv;0,415553;0,252762;;
Piano-perfect_FF.csv;0,428834;0,165348;;
Shelves-perfect_FF.csv;0,453934;0,236461;;
Playroom-perfect_FF.csv;0,467423;0,2569;;
Classroom1-perfect_FF.csv;0,493061;0,203165;;
Couch-perfect_FF.csv;0,495069;0,225917;;
Sticks-perfect_FF.csv;0,524147;0,210367;;
Recycle-perfect_FF.csv;0,577206;0,310044;;
Shopvac-perfect_FF.csv;0,589499;0,291688;;
Sword2-perfect_FF.csv;0,59147;0,304096;;
Adirondack-perfect_FF.csv;0,635606;0,268765;;
Bicycle1-perfect_FF.csv;0,663985;0,253879;;
